Time,Open,High,Low,Last,Change,%Change,Volume
"2025-09-18 19:00",97.343,97.446,97.329,97.362,0.019,+0.02%,0
"2025-09-18 18:00",97.344,97.348,97.332,97.343,-0.019,-0.02%,0
"2025-09-18 17:00",97.356,97.363,97.355,97.362,0.005,+0.01%,0
"2025-09-18 16:00",97.363,97.377,97.337,97.357,-0.007,-0.01%,0
"2025-09-18 15:00",97.374,97.401,97.364,97.364,-0.01,-0.01%,0
"2025-09-18 14:00",97.348,97.383,97.324,97.374,0.026,+0.03%,0
"2025-09-18 13:00",97.348,97.392,97.332,97.348,-0.002,0.00%,0
"2025-09-18 12:00",97.356,97.364,97.302,97.35,-0.006,-0.01%,0
"2025-09-18 11:00",97.41,97.459,97.352,97.356,-0.054,-0.06%,0
"2025-09-18 10:00",97.426,97.478,97.35,97.41,-0.016,-0.02%,0
"2025-09-18 09:00",97.479,97.508,97.375,97.426,-0.053,-0.05%,0
"2025-09-18 08:00",97.241,97.604,97.241,97.479,0.237,+0.24%,0
"2025-09-18 07:00",97.015,97.242,97.01,97.242,0.228,+0.24%,0
"2025-09-18 06:00",96.909,97.053,96.902,97.014,0.105,+0.11%,0
"2025-09-18 05:00",96.908,96.954,96.885,96.909,0.001,0.00%,0
"2025-09-18 04:00",96.986,96.991,96.837,96.908,-0.077,-0.08%,0
"2025-09-18 03:00",96.948,97.033,96.939,96.985,0.037,+0.04%,0
"2025-09-18 02:00",97.219,97.221,96.897,96.948,-0.271,-0.28%,0
"2025-09-18 01:00",97.226,97.311,97.178,97.219,-0.011,-0.01%,0
"2025-09-18 00:00",97.177,97.254,97.145,97.23,0.053,+0.05%,0
"2025-09-17 23:00",97.055,97.187,97.047,97.177,0.122,+0.13%,0
"2025-09-17 22:00",96.994,97.056,96.971,97.055,0.061,+0.06%,0
"2025-09-17 21:00",97.049,97.056,96.985,96.994,-0.055,-0.06%,0
"2025-09-17 20:00",96.96,97.099,96.934,97.049,0.089,+0.09%,0
"2025-09-17 19:00",96.951,97.03,96.943,96.96,0.008,+0.01%,0
"2025-09-17 18:00",96.926,96.955,96.922,96.952,-0.063,-0.06%,0
"2025-09-17 17:00",97.013,97.015,96.996,97.015,0.002,0.00%,0
"2025-09-17 16:00",97.031,97.033,97.007,97.013,-0.018,-0.02%,0
"2025-09-17 15:00",96.943,97.072,96.928,97.031,0.088,+0.09%,0
"2025-09-17 14:00",96.874,96.968,96.719,96.943,0.07,+0.07%,0
"2025-09-17 13:00",96.684,96.998,96.218,96.873,0.188,+0.19%,0
"2025-09-17 12:00",96.717,96.764,96.685,96.685,-0.033,-0.03%,0
"2025-09-17 11:00",96.771,96.784,96.694,96.718,-0.052,-0.05%,0
"2025-09-17 10:00",96.741,96.78,96.715,96.77,0.028,+0.03%,0
"2025-09-17 09:00",96.727,96.762,96.668,96.742,0.015,+0.02%,0
"2025-09-17 08:00",96.771,96.781,96.709,96.727,-0.044,-0.05%,0
"2025-09-17 07:00",96.794,96.838,96.763,96.771,-0.025,-0.03%,0
"2025-09-17 06:00",96.805,96.813,96.744,96.796,-0.009,-0.01%,0
"2025-09-17 05:00",96.756,96.836,96.738,96.805,0.049,+0.05%,0
"2025-09-17 04:00",96.764,96.792,96.725,96.756,-0.008,-0.01%,0
"2025-09-17 03:00",96.831,96.834,96.729,96.764,-0.067,-0.07%,0
"2025-09-17 02:00",96.72,96.844,96.718,96.831,0.112,+0.12%,0
"2025-09-17 01:00",96.716,96.753,96.707,96.719,0.003,0.00%,0
"2025-09-17 00:00",96.728,96.73,96.69,96.716,-0.012,-0.01%,0
"2025-09-16 23:00",96.748,96.752,96.72,96.728,-0.02,-0.02%,0
"2025-09-16 22:00",96.726,96.753,96.71,96.748,0.022,+0.02%,0
"2025-09-16 21:00",96.719,96.754,96.709,96.726,0.008,+0.01%,0
"2025-09-16 20:00",96.705,96.752,96.692,96.718,0.012,+0.01%,0
"2025-09-16 19:00",96.618,96.709,96.586,96.706,0.088,+0.09%,0
"2025-09-16 18:00",96.617,96.623,96.607,96.618,-0.038,-0.04%,0
"2025-09-16 17:00",96.665,96.665,96.643,96.656,-0.01,-0.01%,0
"2025-09-16 16:00",96.646,96.685,96.644,96.666,0.021,+0.02%,0
"2025-09-16 15:00",96.689,96.697,96.638,96.645,-0.045,-0.05%,0
"2025-09-16 14:00",96.634,96.698,96.622,96.69,0.057,+0.06%,0
"2025-09-16 13:00",96.636,96.665,96.599,96.633,-0.003,0.00%,0
"2025-09-16 12:00",96.643,96.655,96.556,96.636,-0.008,-0.01%,0
"2025-09-16 11:00",96.762,96.766,96.603,96.644,-0.117,-0.12%,0
"2025-09-16 10:00",96.731,96.851,96.722,96.761,0.029,+0.03%,0
"2025-09-16 09:00",96.896,96.915,96.724,96.732,-0.164,-0.17%,0
"2025-09-16 08:00",97.055,97.057,96.878,96.896,-0.158,-0.16%,0
"2025-09-16 07:00",96.981,97.143,96.972,97.054,0.074,+0.08%,0
"2025-09-16 06:00",97.046,97.079,96.932,96.98,-0.066,-0.07%,0
"2025-09-16 05:00",97,97.062,96.993,97.046,0.047,+0.05%,0
"2025-09-16 04:00",97.12,97.12,96.963,96.999,-0.121,-0.12%,0
"2025-09-16 03:00",97.102,97.149,97.051,97.12,0.018,+0.02%,0
"2025-09-16 02:00",97.136,97.14,97.04,97.102,-0.034,-0.04%,0
"2025-09-16 01:00",97.21,97.21,97.108,97.136,-0.074,-0.08%,0
"2025-09-16 00:00",97.224,97.244,97.196,97.21,-0.014,-0.01%,0
"2025-09-15 23:00",97.21,97.247,97.209,97.224,0.014,+0.01%,0
"2025-09-15 22:00",97.241,97.255,97.161,97.21,-0.031,-0.03%,0
"2025-09-15 21:00",97.315,97.316,97.232,97.241,-0.074,-0.08%,0
"2025-09-15 20:00",97.354,97.387,97.299,97.315,-0.038,-0.04%,0
"2025-09-15 19:00",97.345,97.388,97.322,97.353,0.008,+0.01%,0
"2025-09-15 18:00",97.338,97.346,97.328,97.345,0.001,0.00%,0
"2025-09-15 17:00",97.322,97.344,97.32,97.344,0.021,+0.02%,0
"2025-09-15 16:00",97.356,97.356,97.319,97.323,-0.034,-0.03%,0
"2025-09-15 15:00",97.322,97.362,97.299,97.357,0.035,+0.04%,0
"2025-09-15 14:00",97.302,97.326,97.28,97.322,0.02,+0.02%,0
"2025-09-15 13:00",97.285,97.317,97.277,97.302,0.017,+0.02%,0
"2025-09-15 12:00",97.38,97.387,97.273,97.285,-0.095,-0.10%,0
"2025-09-15 11:00",97.297,97.397,97.273,97.38,0.083,+0.09%,0
"2025-09-15 10:00",97.406,97.415,97.289,97.297,-0.11,-0.11%,0
"2025-09-15 09:00",97.407,97.46,97.395,97.407,0.002,0.00%,0
"2025-09-15 08:00",97.321,97.411,97.298,97.405,0.083,+0.09%,0
"2025-09-15 07:00",97.376,97.376,97.305,97.322,-0.054,-0.06%,0
"2025-09-15 06:00",97.426,97.426,97.363,97.376,-0.05,-0.05%,0
"2025-09-15 05:00",97.483,97.483,97.357,97.426,-0.057,-0.06%,0
"2025-09-15 04:00",97.548,97.553,97.447,97.483,-0.064,-0.07%,0
"2025-09-15 03:00",97.571,97.59,97.492,97.547,-0.024,-0.02%,0
"2025-09-15 02:00",97.638,97.643,97.497,97.571,-0.067,-0.07%,0
"2025-09-15 01:00",97.622,97.702,97.61,97.638,0.014,+0.01%,0
"2025-09-15 00:00",97.58,97.627,97.576,97.624,0.044,+0.05%,0
"2025-09-14 23:00",97.598,97.603,97.564,97.58,-0.018,-0.02%,0
"2025-09-14 22:00",97.636,97.636,97.579,97.598,-0.038,-0.04%,0
"2025-09-14 21:00",97.639,97.662,97.625,97.636,-0.002,0.00%,0
"2025-09-14 20:00",97.643,97.667,97.628,97.638,-0.006,-0.01%,0
"2025-09-14 19:00",97.659,97.688,97.643,97.644,-0.018,-0.02%,0
"2025-09-14 18:00",97.646,97.667,97.626,97.662,0.016,+0.02%,0
"2025-09-14 17:00",97.626,97.652,97.607,97.646,0.031,+0.03%,0
"2025-09-13 19:00",97.615,97.615,97.615,97.615,0,0.00%,0
"2025-09-12 15:00",97.595,97.658,97.594,97.615,0.021,+0.02%,0
"2025-09-12 14:00",97.55,97.607,97.547,97.594,0.044,+0.05%,0
"2025-09-12 13:00",97.619,97.62,97.546,97.55,-0.069,-0.07%,0
"2025-09-12 12:00",97.66,97.66,97.579,97.619,-0.041,-0.04%,0
"2025-09-12 11:00",97.766,97.793,97.62,97.66,-0.107,-0.11%,0
"2025-09-12 10:00",97.665,97.769,97.654,97.767,0.103,+0.11%,0
"2025-09-12 09:00",97.738,97.747,97.63,97.664,-0.074,-0.08%,0
"2025-09-12 08:00",97.766,97.82,97.728,97.738,-0.028,-0.03%,0
"2025-09-12 07:00",97.711,97.864,97.703,97.766,0.055,+0.06%,0
"2025-09-12 06:00",97.622,97.716,97.61,97.711,0.089,+0.09%,0
"2025-09-12 05:00",97.714,97.716,97.617,97.622,-0.092,-0.09%,0
"2025-09-12 04:00",97.756,97.785,97.7,97.714,-0.043,-0.04%,0
"2025-09-12 03:00",97.552,97.769,97.552,97.757,0.205,+0.21%,0
