Time,Open,High,Low,Last,Change,%Change,Volume
"2025-09-12 15:48",97.644,97.646,97.607,97.615,-0.03,-0.03%,0
"2025-09-12 15:36",97.651,97.658,97.644,97.645,-0.005,-0.01%,0
"2025-09-12 15:24",97.631,97.651,97.631,97.65,0.019,+0.02%,0
"2025-09-12 15:12",97.642,97.645,97.626,97.631,-0.011,-0.01%,0
"2025-09-12 15:00",97.595,97.642,97.594,97.642,0.048,+0.05%,0
"2025-09-12 14:48",97.587,97.607,97.584,97.594,0.007,+0.01%,0
"2025-09-12 14:36",97.601,97.604,97.583,97.587,-0.014,-0.01%,0
"2025-09-12 14:24",97.582,97.601,97.572,97.601,0.02,+0.02%,0
"2025-09-12 14:12",97.576,97.584,97.565,97.581,0.005,+0.01%,0
"2025-09-12 14:00",97.55,97.579,97.547,97.576,0.026,+0.03%,0
"2025-09-12 13:48",97.563,97.565,97.546,97.55,-0.013,-0.01%,0
"2025-09-12 13:36",97.587,97.591,97.562,97.563,-0.024,-0.02%,0
"2025-09-12 13:24",97.604,97.605,97.582,97.587,-0.017,-0.02%,0
"2025-09-12 13:12",97.603,97.609,97.584,97.604,0.001,0.00%,0
"2025-09-12 13:00",97.619,97.62,97.596,97.603,-0.016,-0.02%,0
"2025-09-12 12:48",97.595,97.619,97.579,97.619,0.024,+0.02%,0
"2025-09-12 12:36",97.596,97.606,97.593,97.595,-0.001,0.00%,0
"2025-09-12 12:24",97.595,97.609,97.587,97.596,0.001,0.00%,0
"2025-09-12 12:12",97.612,97.616,97.586,97.595,-0.017,-0.02%,0
"2025-09-12 12:00",97.66,97.66,97.611,97.612,-0.048,-0.05%,0
"2025-09-12 11:48",97.626,97.666,97.626,97.66,0.034,+0.03%,0
"2025-09-12 11:36",97.693,97.693,97.62,97.626,-0.067,-0.07%,0
"2025-09-12 11:24",97.738,97.739,97.688,97.693,-0.045,-0.05%,0
"2025-09-12 11:12",97.776,97.778,97.73,97.738,-0.038,-0.04%,0
"2025-09-12 11:00",97.766,97.793,97.76,97.776,0.009,+0.01%,0
"2025-09-12 10:48",97.732,97.769,97.726,97.767,0.035,+0.04%,0
"2025-09-12 10:36",97.738,97.751,97.709,97.732,-0.006,-0.01%,0
"2025-09-12 10:24",97.721,97.747,97.72,97.738,0.02,+0.02%,0
"2025-09-12 10:12",97.684,97.725,97.666,97.718,0.035,+0.04%,0
"2025-09-12 10:00",97.665,97.69,97.654,97.683,0.019,+0.02%,0
"2025-09-12 09:48",97.712,97.727,97.654,97.664,-0.049,-0.05%,0
"2025-09-12 09:36",97.658,97.726,97.657,97.713,0.055,+0.06%,0
"2025-09-12 09:24",97.655,97.676,97.644,97.658,0.001,0.00%,0
"2025-09-12 09:12",97.694,97.731,97.63,97.657,-0.039,-0.04%,0
"2025-09-12 09:00",97.738,97.747,97.669,97.696,-0.042,-0.04%,0
"2025-09-12 08:48",97.768,97.768,97.728,97.738,-0.03,-0.03%,0
"2025-09-12 08:36",97.817,97.817,97.768,97.768,-0.05,-0.05%,0
"2025-09-12 08:24",97.751,97.82,97.747,97.818,0.066,+0.07%,0
"2025-09-12 08:12",97.76,97.778,97.747,97.752,-0.008,-0.01%,0
"2025-09-12 08:00",97.766,97.788,97.739,97.76,-0.006,-0.01%,0
"2025-09-12 07:48",97.824,97.827,97.763,97.766,-0.057,-0.06%,0
"2025-09-12 07:36",97.831,97.864,97.821,97.823,-0.01,-0.01%,0
"2025-09-12 07:24",97.77,97.863,97.755,97.833,0.063,+0.06%,0
"2025-09-12 07:12",97.743,97.775,97.735,97.77,0.028,+0.03%,0
"2025-09-12 07:00",97.711,97.751,97.703,97.742,0.031,+0.03%,0
"2025-09-12 06:48",97.676,97.716,97.676,97.711,0.036,+0.04%,0
"2025-09-12 06:36",97.666,97.688,97.666,97.675,0.009,+0.01%,0
"2025-09-12 06:24",97.66,97.668,97.647,97.666,0.006,+0.01%,0
"2025-09-12 06:12",97.63,97.665,97.621,97.66,0.03,+0.03%,0
"2025-09-12 06:00",97.622,97.64,97.61,97.63,0.008,+0.01%,0
"2025-09-12 05:48",97.646,97.649,97.617,97.622,-0.024,-0.02%,0
"2025-09-12 05:36",97.652,97.67,97.625,97.646,-0.005,-0.01%,0
"2025-09-12 05:24",97.663,97.669,97.642,97.651,-0.014,-0.01%,0
"2025-09-12 05:12",97.688,97.698,97.662,97.665,-0.024,-0.02%,0
"2025-09-12 05:00",97.714,97.716,97.669,97.689,-0.025,-0.03%,0
"2025-09-12 04:48",97.743,97.754,97.709,97.714,-0.029,-0.03%,0
"2025-09-12 04:36",97.723,97.769,97.717,97.743,0.02,+0.02%,0
"2025-09-12 04:24",97.74,97.74,97.7,97.723,-0.018,-0.02%,0
"2025-09-12 04:12",97.761,97.762,97.729,97.741,-0.021,-0.02%,0
"2025-09-12 04:00",97.756,97.785,97.746,97.762,0.005,+0.01%,0
"2025-09-12 03:48",97.732,97.769,97.731,97.757,0.026,+0.03%,0
"2025-09-12 03:36",97.677,97.738,97.668,97.731,0.054,+0.06%,0
"2025-09-12 03:24",97.704,97.706,97.65,97.677,-0.027,-0.03%,0
"2025-09-12 03:12",97.624,97.704,97.615,97.704,0.08,+0.08%,0
"2025-09-12 03:00",97.552,97.625,97.552,97.624,0.072,+0.07%,0
"2025-09-12 02:48",97.552,97.559,97.543,97.552,0,0.00%,0
"2025-09-12 02:36",97.555,97.577,97.546,97.552,-0.004,0.00%,0
"2025-09-12 02:24",97.492,97.578,97.492,97.556,0.064,+0.07%,0
"2025-09-12 02:12",97.527,97.529,97.491,97.492,-0.034,-0.03%,0
"2025-09-12 02:00",97.556,97.556,97.496,97.526,-0.028,-0.03%,0
"2025-09-12 01:48",97.617,97.617,97.552,97.554,-0.064,-0.07%,0
"2025-09-12 01:36",97.635,97.635,97.61,97.618,-0.017,-0.02%,0
"2025-09-12 01:24",97.629,97.668,97.627,97.635,0.006,+0.01%,0
"2025-09-12 01:12",97.63,97.633,97.612,97.629,0,0.00%,0
"2025-09-12 01:00",97.593,97.654,97.593,97.629,0.036,+0.04%,0
"2025-09-12 00:48",97.59,97.6,97.587,97.593,0.004,0.00%,0
"2025-09-12 00:36",97.619,97.621,97.587,97.589,-0.031,-0.03%,0
"2025-09-12 00:24",97.637,97.64,97.615,97.62,-0.017,-0.02%,0
"2025-09-12 00:12",97.651,97.652,97.631,97.637,-0.014,-0.01%,0
"2025-09-12 00:00",97.642,97.657,97.64,97.651,0.009,+0.01%,0
"2025-09-11 23:48",97.653,97.653,97.636,97.642,-0.011,-0.01%,0
"2025-09-11 23:36",97.652,97.662,97.646,97.653,0.001,0.00%,0
