
Seq	Index	Timestamp	DC
1	-	2025-08-03 16:00:00 (pred, OC -, PrevOC -)	-
3	1	2025-08-03 20:00:00 (OC +0.14500, PrevOC +0.01200)	False
7	6	2025-08-04 06:00:00 (OC -0.07800, PrevOC -0.01500)	False
13	13	2025-08-04 20:00:00 (OC +0.14700, PrevOC -0.12900)	False
21	21	2025-08-05 12:00:00 (OC +0.02100, PrevOC -0.29700)	False
31	32	2025-08-06 10:00:00 (OC -0.08900, PrevOC -0.20700)	False
43	46	2025-08-07 14:00:00 (OC -0.17300, PrevOC +0.05300)	False
57	61	2025-08-10 20:00:00 (OC -0.07400, PrevOC -0.00300)	False
73	79	2025-08-12 08:00:00 (OC -0.32200, PrevOC +0.01300)	False
91	99	2025-08-14 00:00:00 (OC +0.00600, PrevOC +0.07400)	False
111	119	2025-08-15 16:00:00 (OC -0.02500, PrevOC +0.02100)	False
133	-	2025-08-19 12:00:00 (pred, OC -, PrevOC -)	-
157	-	2025-08-21 12:00:00 (pred, OC -, PrevOC -)
