Time,Open,High,Low,Last,Change,%Change,Volume
"2025-07-18 15:00",98.477,98.507,98.451,98.463,-0.014,-0.01%,0
"2025-07-18 14:00",98.481,98.518,98.474,98.477,-0.005,-0.01%,0
"2025-07-18 13:00",98.444,98.496,98.435,98.482,0.038,+0.04%,0
"2025-07-18 12:00",98.431,98.509,98.421,98.444,0.012,+0.01%,0
"2025-07-18 11:00",98.31,98.446,98.284,98.432,0.122,+0.12%,0
"2025-07-18 10:00",98.286,98.319,98.225,98.31,0.024,+0.02%,0
"2025-07-18 09:00",98.133,98.312,98.099,98.286,0.154,+0.16%,0
"2025-07-18 08:00",98.207,98.259,98.115,98.132,-0.075,-0.08%,0
"2025-07-18 07:00",98.3,98.304,98.19,98.207,-0.094,-0.10%,0
"2025-07-18 06:00",98.328,98.332,98.279,98.301,-0.027,-0.03%,0
"2025-07-18 05:00",98.401,98.407,98.319,98.328,-0.073,-0.07%,0
"2025-07-18 04:00",98.385,98.404,98.332,98.401,0.016,+0.02%,0
"2025-07-18 03:00",98.449,98.449,98.316,98.385,-0.063,-0.06%,0
"2025-07-18 02:00",98.503,98.512,98.439,98.448,-0.055,-0.06%,0
"2025-07-18 01:00",98.539,98.575,98.489,98.503,-0.036,-0.04%,0
"2025-07-18 00:00",98.514,98.571,98.509,98.539,0.025,+0.03%,0
"2025-07-17 23:00",98.483,98.522,98.483,98.514,0.031,+0.03%,0
"2025-07-17 22:00",98.432,98.494,98.422,98.483,0.051,+0.05%,0
"2025-07-17 21:00",98.436,98.473,98.411,98.432,-0.005,-0.01%,0
"2025-07-17 20:00",98.469,98.49,98.391,98.437,-0.032,-0.03%,0
"2025-07-17 19:00",98.505,98.509,98.429,98.469,-0.037,-0.04%,0
"2025-07-17 18:00",98.487,98.509,98.482,98.506,-0.11,-0.11%,0
"2025-07-17 17:00",98.633,98.634,98.613,98.616,-0.017,-0.02%,0
"2025-07-17 16:00",98.651,98.676,98.633,98.633,-0.017,-0.02%,0
"2025-07-17 15:00",98.632,98.662,98.617,98.65,0.018,+0.02%,0
"2025-07-17 14:00",98.733,98.733,98.621,98.632,-0.102,-0.10%,0
"2025-07-17 13:00",98.731,98.767,98.71,98.734,0.003,0.00%,0
"2025-07-17 12:00",98.723,98.748,98.689,98.731,0.008,+0.01%,0
"2025-07-17 11:00",98.645,98.752,98.606,98.723,0.079,+0.08%,0
"2025-07-17 10:00",98.7,98.718,98.6,98.644,-0.055,-0.06%,0
"2025-07-17 09:00",98.721,98.779,98.661,98.699,-0.021,-0.02%,0
"2025-07-17 08:00",98.726,98.759,98.645,98.72,-0.005,-0.01%,0
"2025-07-17 07:00",98.813,98.95,98.687,98.725,-0.086,-0.09%,0
"2025-07-17 06:00",98.731,98.846,98.71,98.811,0.08,+0.08%,0
"2025-07-17 05:00",98.708,98.766,98.698,98.731,0.023,+0.02%,0
"2025-07-17 04:00",98.619,98.718,98.593,98.708,0.088,+0.09%,0
"2025-07-17 03:00",98.713,98.727,98.612,98.62,-0.093,-0.09%,0
"2025-07-17 02:00",98.74,98.804,98.665,98.713,-0.027,-0.03%,0
"2025-07-17 01:00",98.524,98.812,98.521,98.74,0.215,+0.22%,0
"2025-07-17 00:00",98.477,98.526,98.46,98.525,0.048,+0.05%,0
"2025-07-16 23:00",98.52,98.548,98.476,98.477,-0.043,-0.04%,0
"2025-07-16 22:00",98.519,98.561,98.516,98.52,0,0.00%,0
"2025-07-16 21:00",98.425,98.528,98.424,98.52,0.095,+0.10%,0
