Time,Open,High,Low,Close
2025-09-14 18:00:00,97.626,97.667,97.607,97.655
2025-09-14 19:30:00,97.655,97.688,97.643,97.643
2025-09-14 21:00:00,97.643,97.667,97.628,97.66
2025-09-14 22:30:00,97.66,97.66,97.579,97.598
2025-09-15 00:00:00,97.598,97.608,97.564,97.607
2025-09-15 01:30:00,97.607,97.702,97.604,97.638
2025-09-15 03:00:00,97.638,97.643,97.492,97.53
2025-09-15 04:30:00,97.53,97.59,97.447,97.483
2025-09-15 06:00:00,97.483,97.483,97.357,97.383
2025-09-15 07:30:00,97.383,97.414,97.305,97.321
2025-09-15 09:00:00,97.321,97.46,97.298,97.439
2025-09-15 10:30:00,97.439,97.453,97.289,97.297
2025-09-15 12:00:00,97.297,97.397,97.273,97.356
2025-09-15 13:30:00,97.356,97.356,97.273,97.302
2025-09-15 15:00:00,97.302,97.341,97.28,97.34
2025-09-15 16:30:00,97.34,97.362,97.319,97.322
2025-09-15 18:00:00,97.322,97.344,97.32,97.338
2025-09-15 19:30:00,97.338,97.388,97.322,97.354
2025-09-15 21:00:00,97.354,97.387,97.237,97.264
2025-09-15 22:30:00,97.264,97.283,97.161,97.21
2025-09-16 00:00:00,97.21,97.247,97.196,97.205
2025-09-16 01:30:00,97.205,97.244,97.108,97.136
2025-09-16 03:00:00,97.136,97.14,97.04,97.101
2025-09-16 04:30:00,97.101,97.149,96.963,97
2025-09-16 06:00:00,97,97.079,96.993,97.073
2025-09-16 07:30:00,97.073,97.143,96.932,97.055
2025-09-16 09:00:00,97.055,97.057,96.738,96.77
2025-09-16 10:30:00,96.77,96.851,96.722,96.762
2025-09-16 12:00:00,96.762,96.766,96.556,96.608
2025-09-16 13:30:00,96.608,96.665,96.587,96.634
2025-09-16 15:00:00,96.634,96.698,96.622,96.652
2025-09-16 16:30:00,96.652,96.685,96.638,96.665
2025-09-16 18:00:00,96.665,96.665,96.617,96.617
2025-09-16 19:30:00,96.617,96.709,96.586,96.705
2025-09-16 21:00:00,96.705,96.752,96.692,96.73
2025-09-16 22:30:00,96.73,96.754,96.71,96.748
2025-09-17 00:00:00,96.748,96.752,96.69,96.715
2025-09-17 01:30:00,96.715,96.753,96.699,96.72
2025-09-17 03:00:00,96.72,96.844,96.718,96.789
2025-09-17 04:30:00,96.789,96.812,96.725,96.756
2025-09-17 06:00:00,96.756,96.836,96.738,96.796
2025-09-17 07:30:00,96.796,96.838,96.744,96.771
2025-09-17 09:00:00,96.771,96.781,96.668,96.692
2025-09-17 10:30:00,96.692,96.78,96.684,96.771
2025-09-17 12:00:00,96.771,96.784,96.694,96.734
2025-09-17 13:30:00,96.734,96.998,96.218,96.874
2025-09-17 15:00:00,96.874,97.072,96.719,97.053
2025-09-17 16:30:00,97.053,97.063,96.992,97.013
2025-09-17 18:00:00,97.013,97.015,96.926,96.926
2025-09-17 19:30:00,96.926,97.03,96.922,96.96
2025-09-17 21:00:00,96.96,97.099,96.934,96.994
2025-09-17 22:30:00,96.994,97.056,96.971,97.055
2025-09-18 00:00:00,97.055,97.209,97.047,97.162
2025-09-18 01:30:00,97.162,97.311,97.145,97.219
2025-09-18 03:00:00,97.219,97.221,96.897,97.011
2025-09-18 04:30:00,97.011,97.028,96.837,96.908
2025-09-18 06:00:00,96.908,96.989,96.885,96.975
2025-09-18 07:30:00,96.975,97.242,96.955,97.241
2025-09-18 09:00:00,97.241,97.604,97.241,97.412
2025-09-18 10:30:00,97.412,97.478,97.35,97.41
2025-09-18 12:00:00,97.41,97.459,97.313,97.321
2025-09-18 13:30:00,97.321,97.392,97.302,97.348
2025-09-18 15:00:00,97.348,97.401,97.324,97.374
2025-09-18 16:30:00,97.374,97.4,97.337,97.356
2025-09-18 18:00:00,97.356,97.363,97.344,97.344
2025-09-18 19:30:00,97.344,97.446,97.329,97.368
2025-09-18 21:00:00,97.368,97.47,97.362,97.448
2025-09-18 22:30:00,97.448,97.459,97.282,97.358
2025-09-19 00:00:00,97.358,97.417,97.27,97.376
2025-09-19 01:30:00,97.376,97.549,97.367,97.512
2025-09-19 03:00:00,97.512,97.629,97.429,97.601
2025-09-19 04:30:00,97.601,97.613,97.505,97.57
2025-09-19 06:00:00,97.57,97.625,97.528,97.603
2025-09-19 07:30:00,97.603,97.809,97.571,97.76
2025-09-19 09:00:00,97.76,97.762,97.516,97.551
2025-09-19 10:30:00,97.551,97.694,97.505,97.592
2025-09-19 12:00:00,97.592,97.672,97.571,97.615
2025-09-19 13:30:00,97.615,97.653,97.593,97.644
2025-09-19 15:00:00,97.644,97.685,97.621,97.664
2025-09-19 16:30:00,97.664,97.692,97.646,97.649
2025-09-21 18:00:00,97.649,97.704,97.634,97.696
2025-09-21 19:30:00,97.696,97.813,97.693,97.746
2025-09-21 21:00:00,97.746,97.81,97.702,97.799
2025-09-21 22:30:00,97.799,97.809,97.76,97.779
