
Seq	-3	-2	-1	0	+1	+2	+3
1	2025-06-01 12:00:00 (pred, OC -, PrevOC -)	2025-06-01 14:00:00 (pred, OC -, PrevOC -)	2025-06-01 16:00:00 (pred, OC -, PrevOC -)	2025-06-01 18:00:00 (OC -0.03900, PrevOC -)	2025-06-01 20:00:00 (OC -0.16200, PrevOC -0.03900)	2025-06-01 22:00:00 (OC +0.07200, PrevOC -0.16200) (DC)	2025-06-02 00:00:00 (OC -0.14000, PrevOC +0.07200)
5	2025-06-01 20:00:00 (OC -0.16200, PrevOC -0.03900)	2025-06-01 22:00:00 (OC +0.07200, PrevOC -0.16200) (DC)	2025-06-02 02:00:00 (OC -0.37200, PrevOC -0.14000)	2025-06-02 04:00:00 (OC +0.02100, PrevOC -0.37200) (DC)	2025-06-02 08:00:00 (OC -0.04700, PrevOC +0.04600)	2025-06-02 08:00:00 (OC -0.04700, PrevOC +0.04600)	2025-06-02 10:00:00 (OC -0.03900, PrevOC -0.04700)
9	2025-06-02 08:00:00 (OC -0.04700, PrevOC +0.04600)	2025-06-02 10:00:00 (OC -0.03900, PrevOC -0.04700)	2025-06-02 12:00:00 (OC +0.09500, PrevOC -0.03900)	2025-06-02 14:00:00 (OC -0.18100, PrevOC +0.09500)	2025-06-02 16:00:00 (OC +0.03700, PrevOC -0.18100)	2025-06-02 16:00:00 (OC +0.03700, PrevOC -0.18100)	2025-06-02 18:00:00 (OC -0.11100, PrevOC +0.03700)
17	2025-06-03 00:00:00 (OC -0.04100, PrevOC +0.06900)	2025-06-03 02:00:00 (OC +0.03300, PrevOC -0.04100)	2025-06-03 04:00:00 (OC +0.02100, PrevOC +0.03300)	2025-06-03 06:00:00 (OC +0.17200, PrevOC +0.02100)	2025-06-03 08:00:00 (OC +0.06300, PrevOC +0.17200)	2025-06-03 08:00:00 (OC +0.06300, PrevOC +0.17200)	2025-06-03 10:00:00 (OC +0.11000, PrevOC +0.06300)
25	2025-06-03 20:00:00 (OC -0.02600, PrevOC -0.06900)	2025-06-03 22:00:00 (OC +0.15400, PrevOC -0.02600)	2025-06-04 00:00:00 (OC +0.04700, PrevOC +0.15400)	2025-06-04 02:00:00 (OC -0.17000, PrevOC +0.04700)	2025-06-04 04:00:00 (OC +0.02100, PrevOC -0.17000)	2025-06-04 04:00:00 (OC +0.02100, PrevOC -0.17000)	2025-06-04 06:00:00 (OC +0.04700, PrevOC +0.02100)
37	2025-06-04 20:00:00 (OC +0.04500, PrevOC -0.01500)	2025-06-04 22:00:00 (OC +0.04800, PrevOC +0.04500)	2025-06-05 00:00:00 (OC +0.03700, PrevOC +0.04800)	2025-06-05 02:00:00 (OC -0.02700, PrevOC +0.03700)	2025-06-05 04:00:00 (OC -0.06500, PrevOC -0.02700)	2025-06-05 04:00:00 (OC -0.06500, PrevOC -0.02700)	2025-06-05 06:00:00 (OC -0.04000, PrevOC -0.06500)
49	2025-06-06 00:00:00 (OC +0.04300, PrevOC +0.02200)	2025-06-06 02:00:00 (OC +0.06900, PrevOC +0.04300)	2025-06-06 04:00:00 (OC +0.08700, PrevOC +0.06900)	2025-06-06 06:00:00 (OC +0.00100, PrevOC +0.08700)	2025-06-06 08:00:00 (OC +0.24500, PrevOC +0.00100)	2025-06-06 08:00:00 (OC +0.24500, PrevOC +0.00100)	2025-06-06 10:00:00 (OC -0.03700, PrevOC +0.24500) (DC)
65	2025-06-09 10:00:00 (OC -0.19900, PrevOC +0.14200)	2025-06-09 12:00:00 (OC +0.03200, PrevOC -0.19900) (DC)	2025-06-09 16:00:00 (OC +0.02600, PrevOC +0.00300)	2025-06-09 18:00:00 (OC -0.03000, PrevOC +0.02600)	2025-06-09 20:00:00 (OC +0.23400, PrevOC -0.03000)	2025-06-09 20:00:00 (OC +0.23400, PrevOC -0.03000)	2025-06-09 22:00:00 (OC -0.07000, PrevOC +0.23400)
81	2025-06-10 22:00:00 (OC -0.04900, PrevOC +0.20600)	2025-06-11 00:00:00 (OC -0.04000, PrevOC -0.04900)	2025-06-11 02:00:00 (OC +0.03500, PrevOC -0.04000)	2025-06-11 04:00:00 (OC -0.08900, PrevOC +0.03500)	2025-06-11 06:00:00 (OC +0.02500, PrevOC -0.08900) (DC)	2025-06-11 06:00:00 (OC +0.02500, PrevOC -0.08900) (DC)	2025-06-11 10:00:00 (OC -0.19300, PrevOC -0.25800)
101	2025-06-12 18:00:00 (OC -0.17100, PrevOC -0.08200)	2025-06-12 20:00:00 (OC +0.40500, PrevOC -0.17100)	2025-06-12 22:00:00 (OC +0.10900, PrevOC +0.40500)	2025-06-13 00:00:00 (OC +0.06400, PrevOC +0.10900)	2025-06-13 02:00:00 (OC -0.03500, PrevOC +0.06400)	2025-06-13 02:00:00 (OC -0.03500, PrevOC +0.06400)	2025-06-13 04:00:00 (OC +0.12500, PrevOC -0.03500)
