Time,Open,High,Low,Close
2025-08-10 18:00:00-04:00,98.237,99.32,98.208,98.263
2025-08-10 18:48:00-04:00,98.263,98.266,98.214,98.228
2025-08-10 19:36:00-04:00,98.228,98.258,98.211,98.231
2025-08-10 20:24:00-04:00,98.231,98.275,98.227,98.238
2025-08-10 21:12:00-04:00,98.238,98.247,98.16,98.16
2025-08-10 22:00:00-04:00,98.16,98.16,98.096,98.105
2025-08-10 22:48:00-04:00,98.105,98.118,98.038,98.077
2025-08-10 23:36:00-04:00,98.077,98.077,98.034,98.044
2025-08-11 00:24:00-04:00,98.044,98.086,98.039,98.066
2025-08-11 01:12:00-04:00,98.066,98.088,98.056,98.077
2025-08-11 02:00:00-04:00,98.077,98.112,98.04,98.111
2025-08-11 02:48:00-04:00,98.111,98.202,98.103,98.198
2025-08-11 03:36:00-04:00,98.198,98.236,98.165,98.174
2025-08-11 04:24:00-04:00,98.174,98.201,98.14,98.201
2025-08-11 05:12:00-04:00,98.201,98.305,98.2,98.286
2025-08-11 06:00:00-04:00,98.286,98.289,98.243,98.265
2025-08-11 06:48:00-04:00,98.265,98.382,98.26,98.381
2025-08-11 07:36:00-04:00,98.381,98.501,98.377,98.464
2025-08-11 08:24:00-04:00,98.464,98.509,98.442,98.485
2025-08-11 09:12:00-04:00,98.485,98.489,98.413,98.474
2025-08-11 10:00:00-04:00,98.474,98.649,98.464,98.641
2025-08-11 10:48:00-04:00,98.641,98.67,98.572,98.579
2025-08-11 11:36:00-04:00,98.579,98.592,98.512,98.519
2025-08-11 12:24:00-04:00,98.519,98.584,98.516,98.566
2025-08-11 13:12:00-04:00,98.566,98.607,98.507,98.515
2025-08-11 14:00:00-04:00,98.515,98.546,98.495,98.518
2025-08-11 14:48:00-04:00,98.518,98.585,98.51,98.575
2025-08-11 15:36:00-04:00,98.575,98.598,98.517,98.518
2025-08-11 16:24:00-04:00,98.518,98.52,98.478,98.504
2025-08-11 17:12:00-04:00,98.504,98.515,98.491,98.507
2025-08-11 19:36:00-04:00,98.507,98.541,98.478,98.53
2025-08-11 20:24:00-04:00,98.53,98.533,98.487,98.488
2025-08-11 21:12:00-04:00,98.488,98.534,98.448,98.495
2025-08-11 22:00:00-04:00,98.495,98.507,98.459,98.481
2025-08-11 22:48:00-04:00,98.481,98.494,98.457,98.489
2025-08-11 23:36:00-04:00,98.489,98.52,98.481,98.519
2025-08-12 00:24:00-04:00,98.519,98.538,98.438,98.454
2025-08-12 01:12:00-04:00,98.454,98.539,98.45,98.534
2025-08-12 02:00:00-04:00,98.534,98.545,98.483,98.492
2025-08-12 02:48:00-04:00,98.492,98.554,98.447,98.485
2025-08-12 03:36:00-04:00,98.485,98.506,98.438,98.474
2025-08-12 04:24:00-04:00,98.474,98.531,98.465,98.518
2025-08-12 05:12:00-04:00,98.518,98.596,98.504,98.562
2025-08-12 06:00:00-04:00,98.562,98.567,98.513,98.541
2025-08-12 06:48:00-04:00,98.541,98.603,98.531,98.594
2025-08-12 07:36:00-04:00,98.594,98.622,98.536,98.577
2025-08-12 08:24:00-04:00,98.577,98.598,98.196,98.352
2025-08-12 09:12:00-04:00,98.352,98.482,98.136,98.253
2025-08-12 10:00:00-04:00,98.253,98.326,98.185,98.199
2025-08-12 10:48:00-04:00,98.199,98.23,97.953,98.011
2025-08-12 11:36:00-04:00,98.011,98.114,97.897,98.039
2025-08-12 12:24:00-04:00,98.039,98.066,97.97,98.05
2025-08-12 13:12:00-04:00,98.05,98.069,98.006,98.059
2025-08-12 14:00:00-04:00,98.059,98.122,98.019,98.113
2025-08-12 14:48:00-04:00,98.113,98.131,98.06,98.062
2025-08-12 15:36:00-04:00,98.062,98.083,98.052,98.054
2025-08-12 16:24:00-04:00,98.054,98.084,98.044,98.075
